RegionName,StateName,SizeRank,2017_avg,2017_std,2018_avg,2018_std
10025,New York,1,958500,89778.5145,999870,96464.87495
60657,Illinois,2,386575,15545.96009,398730,25007.44089
77494,Texas,3,321366.6667,6069.504831,328755.5556,8580.742148
79936,Texas,4,128675,2828.169314,129270,1930.310856
77449,Texas,5,171966.6667,5297.064176,180040,2921.711827
10002,New York,6,803366.6667,44595.97017,883050,98093.74343
37013,Tennessee,7,184100,8361.319673,209690,10040.56273
78660,Texas,8,238083.3333,5450.662549,242790,3193.258524
90250,California,9,598175,20968.47336,646970,28866.27964
37211,Tennessee,10,233266.6667,5974.715242,254090,6952.330545
60618,Illinois,11,387525,12322.48115,395770,19954.65109
77573,Texas,12,250858.3333,8495.533957,258280,4537.356058
77584,Texas,13,253700,5380.520421,254540,3987.781338
28269,North Carolina,14,182191.6667,5578.15058,196077.7778,3301.440015
20002,District of Columbia,15,579425,18877.37292,615230,21771.12997
78130,Texas,16,216050,8139.973382,223290,5288.941293
94565,California,17,394075,15115.17587,429844.4444,7007.632523
79912,Texas,18,193808.3333,7692.578494,200220,5386.613036
78613,Texas,19,282125,5203.544465,287340,12094.06466
75052,Texas,20,195608.3333,7436.784513,213444.4444,7202.485853
20009,District of Columbia,21,561591.6667,16616.48069,558210,19282.91731
77433,Texas,22,244116.6667,24060.1965,257760,8173.885245
73099,Oklahoma,23,158391.6667,6903.918976,161620,8725.457008
77429,Texas,24,237150,7575.673787,239660,4314.672641
77479,Texas,25,370158.3333,19253.72078,350144.4444,13348.83358
63376,Missouri,26,184283.3333,1950.569717,196380,3530.099149
30044,Georgia,27,173900,5668.774118,186300,6102.663353
30043,Georgia,28,213616.6667,4443.315829,223837.5,2933.401396
60629,Illinois,29,152858.3333,12555.70643,166340,8805.248435
60625,Illinois,30,287841.6667,21164.57175,297630,28496.07166
7030,New Jersey,31,704900,21101.61921,731555.5556,52449.61839
28277,North Carolina,32,300866.6667,10086.40449,319720,2829.063449
85032,Arizona,33,234666.6667,3339.244758,253430,6381.857096
78245,Texas,34,174033.3333,8188.847429,182300,6267.216288
23464,Virginia,35,237583.3333,7335.056616,241740,7834.436802
30096,Georgia,36,197641.6667,4604.971649,211700,4662.885373
75243,Texas,37,250883.3333,8802.067308,268511.1111,32960.29411
98052,Washington,38,687550,27136.43,751960,38859.57282
94501,California,39,869775,36286.08836,927650,43501.13217
8701,New Jersey,40,246575,10289.16299,233644.4444,22012.7292
77379,Texas,41,235183.3333,12042.20587,235160,8758.675699
78666,Texas,42,213575,8192.692374,209650,8716.679414
30024,Georgia,43,316350,4649.103856,332122.2222,10316.19846
94110,California,44,1348266.667,84529.90924,1483255.556,29373.61292
33139,Florida,45,299658.3333,18992.65026,310170,22125.64349
33411,Florida,46,245200,15297.16749,273500,7234.331728
44107,Ohio,47,151866.6667,8564.493888,170911.1111,7195.283091
78745,Texas,48,290050,8488.178053,301811.1111,5596.118584
75067,Texas,49,225433.3333,8980.658229,247050,4830.993687
33025,Florida,50,206866.6667,5224.674365,219620,7980.701724
2169,Massachusetts,51,340950,6976.329025,365155.5556,11476.55689
66062,Kansas,52,247975,4697.18444,262688.8889,3948.964546
23462,Virginia,53,182983.3333,4491.071389,190440,8046.390495
90044,California,54,363633.3333,15692.26632,422610,8198.469369
95630,California,55,485066.6667,10570.97704,520510,10125.85305
90805,California,56,406308.3333,20225.49787,449000,6568.86596
90650,California,57,438975,8190.352557,466090,5976.027108
92683,California,58,602066.6667,11724.57059,649270,11181.59649
85710,Arizona,59,154633.3333,4976.332876,167533.3333,1763.204154
60611,Illinois,60,415558.3333,17116.82692,439760,28303.04577
10314,New York,61,442741.6667,21917.78039,442255.5556,12344.0594
37075,Tennessee,62,259533.3333,14299.08699,280400,8482.0071
60617,Illinois,63,88200,6651.440947,98520,7354.291264
30281,Georgia,64,140150,3778.116815,151722.2222,6000.144031
32210,Florida,65,112166.6667,6703.647432,129850,4183.359894
85225,Arizona,66,236566.6667,6346.827729,253137.5,3141.630747
91910,California,67,467241.6667,20367.0673,489610,18635.15227
87114,New Mexico,68,208683.3333,3497.340259,215933.3333,2143.724692
6010,Connecticut,69,159316.6667,11708.88789,163733.3333,5879.909296
78240,Texas,70,175825,3628.848532,182970,2520.337279
85308,Arizona,71,260625,4971.104002,276020,8299.49396
89108,Nevada,72,165333.3333,7757.935006,200933.3333,14101.30018
93722,California,73,243233.3333,17664.6697,251611.1111,2624.857433
87111,New Mexico,74,254125,8389.688612,260877.7778,8372.146649
48180,Michigan,75,83500,7109.73511,92855.55556,3189.953365
43081,Ohio,76,195200,6978.657942,218450,4543.621903
15601,Pennsylvania,77,143800,6541.788746,148955.5556,6440.170997
95608,California,78,356141.6667,11381.37794,389680,7060.141642
44060,Ohio,79,157033.3333,8989.747246,153650,7107.496043
97229,Oregon,80,496158.3333,7020.382033,533520,20033.21242
80013,Colorado,81,307341.6667,8216.087708,333244.4444,5210.909733
77459,Texas,82,286425,5973.012222,285622.2222,15938.12883
33024,Florida,83,243991.6667,7482.252149,262630,3163.242008
91709,California,84,620908.3333,23221.91703,661650,23222.8013
43123,Ohio,85,170341.6667,7175.241963,182020,3018.542695
20906,Maryland,86,297050,6393.812113,300600,10328.38591
90066,California,87,1211575,36535.57912,1328980,45231.13529
98012,Washington,88,496516.6667,23352.83114,567740,21477.62557
76028,Texas,89,197875,5823.533435,219610,10512.22622
34787,Florida,90,334766.6667,16512.28499,345133.3333,11528.70813
33908,Florida,91,236225,11764.7868,250422.2222,9960.006446
2148,Massachusetts,92,379516.6667,30129.02347,423655.5556,21912.71123
76063,Texas,93,257150,5866.642992,269533.3333,6858.57128
44256,Ohio,94,194658.3333,10813.6841,210410,12181.33408
79938,Texas,95,146533.3333,6304.671989,148420,1968.146336
95823,California,96,244683.3333,7850.247696,269230,3879.445837
92677,California,97,731916.6667,31417.55967,800460,37447.80901
30040,Georgia,98,277541.6667,6365.854006,299544.4444,8366.083793
75056,Texas,99,267216.6667,12494.72111,289100,11463.94348
33009,Florida,100,197950,9685.341157,198600,9127.212061
45011,Ohio,101,190216.6667,6291.109247,205088.8889,8156.857298
6902,Connecticut,102,376350,15808.30478,403777.7778,25285.69107
27410,North Carolina,103,199991.6667,10268.02954,201990,5727.556198
89121,Nevada,104,172858.3333,9607.241915,198722.2222,8200.105389
10028,New York,105,1103025,138235.0542,1132540,132464.1702
92345,California,106,223441.6667,4072.357698,251250,7745.224335
8753,New Jersey,107,241550,10217.02011,249111.1111,12634.11998
92336,California,108,422183.3333,10808.47147,446830,3527.052594
92126,California,109,511258.3333,12530.12758,571350,18745.30608
30188,Georgia,110,216433.3333,6580.315764,236555.5556,5441.019331
46307,Indiana,111,203558.3333,4864.91835,212790,6893.250322
75228,Texas,112,206708.3333,11151.11791,220077.7778,9794.757983
27406,North Carolina,113,111650,10826.39521,119980,7415.362432
98103,Washington,114,674891.6667,25563.04163,770233.3333,20329.99973
20011,District of Columbia,115,537175,20036.55513,583060,16289.70227
29732,South Carolina,116,178441.6667,7106.506213,189870,7409.460169
90019,California,117,933625,77697.99574,1065650,75532.6585
43130,Ohio,118,129400,6095.626848,136844.4444,9638.823247
76244,Texas,119,241950,3537.065639,253430,7810.12804
27610,North Carolina,120,159166.6667,5339.995839,177690,4350.045977
77095,Texas,121,210333.3333,4373.086883,213290,1993.213486
87120,New Mexico,122,190400,2217.731574,200866.6667,1684.570502
92503,California,123,358583.3333,10870.3598,396830,4999.409965
91911,California,124,430400,10375.77306,463980,7045.253721
94536,California,125,880416.6667,41819.84842,1020977.778,29511.72188
7002,New Jersey,126,318500,12850.61607,367633.3333,16456.67713
90280,California,127,396866.6667,7624.66757,429990,7281.545166
28078,North Carolina,128,273908.3333,5831.017397,292780,6529.594168
23320,Virginia,129,225266.6667,5987.533345,232650,10128.00573
43230,Ohio,130,181475,5542.581378,201950,6436.186759
22191,Virginia,131,298766.6667,4924.316083,310511.1111,5926.671249
89117,Nevada,132,280441.6667,7002.078065,316811.1111,15768.98816
19111,Pennsylvania,133,162233.3333,6376.170916,171988.8889,5597.309759
92592,California,134,435125,6995.489618,464230,6961.472545
91730,California,135,402883.3333,14805.9016,429320,15111.1085
30080,Georgia,136,255008.3333,15709.31031,272911.1111,6475.328296
74012,Oklahoma,137,161150,3670.03633,164530,3776.519562
21117,Maryland,138,234566.6667,10834.30765,240710,4359.460976
95747,California,139,439266.6667,4853.063179,468177.7778,9407.063277
60628,Illinois,140,56733.33333,6767.610772,70211.11111,7290.243777
32244,Florida,141,135833.3333,6841.945792,144100,8651.358275
92109,California,142,781250,27630.85534,800975,46409.15185
30052,Georgia,143,182716.6667,4405.835776,204900,5513.821018
30041,Georgia,144,329025,8821.387363,343711.1111,12470.35992
92101,California,145,540600,21440.9266,561180,10057.11688
32822,Florida,146,114700,12023.17207,132240,10373.06126
34711,Florida,147,235591.6667,5569.47908,254160,10044.91911
32218,Florida,148,154733.3333,7521.89397,167380,6619.486385
7093,New Jersey,149,372975,25894.40496,404844.4444,29149.35147
33186,Florida,150,270533.3333,5239.327777,281650,3881.816585
32256,Florida,151,139758.3333,9110.841375,166060,8687.485252
30062,Georgia,152,301408.3333,11263.76627,319800,12433.64611
78641,Texas,153,250033.3333,14190.68552,254687.5,7728.265895
60626,Illinois,154,187108.3333,13300.52996,198220,14750.37627
2155,Massachusetts,155,514941.6667,20761.11985,532944.4444,34183.23537
38401,Tennessee,156,160658.3333,5040.247734,176370,9332.314825
91342,California,157,461083.3333,14012.36557,499520,8415.913498
92335,California,158,306225,11093.85153,330875,13310.78041
95123,California,159,805283.3333,32667.41071,968277.7778,33425.13285
43026,Ohio,160,199391.6667,6118.204847,217530,6604.70287
89052,Nevada,161,356541.6667,10446.00867,380188.8889,15762.92728
92021,California,162,435308.3333,15951.30393,451530,19060.38037
29072,South Carolina,163,194850,6352.492949,194800,8878.688592
93065,California,164,545516.6667,7676.569691,570475,6217.8674
22304,Virginia,165,305025,9817.427107,326422.2222,6909.860551
23454,Virginia,166,263041.6667,3368.347353,275800,8988.770772
22193,Virginia,167,298783.3333,8840.138888,309055.5556,2681.670752
75206,Texas,168,407275,22714.31725,429277.7778,11007.95448
44130,Ohio,169,127058.3333,6386.503782,127044.4444,1519.584089
48185,Michigan,170,130700,4081.257976,133922.2222,2721.020143
